Servings per day,Item,Total Caffeine (in mg)
Coffee (180 ml cup),Drip brewed,100 mg per 180 ml
Coffee (180 ml cup),Percolated,120 mg per 180 ml
Coffee (180 ml cup),Instant,90 mg. per 180 ml
Coffee (180 ml cup),Brewed decaffeinated,5 mg per 180 ml
Coffee (180 ml cup),Instant decaffeinated,3 mg per 180 ml
Tea (180 ml cup),Green,35 mg per 180 ml
Tea (180 ml cup),Black,70 mg per 180 ml
Tea (180 ml cup),Canned ice tea,35 mg per 360 oz can
Cocoa,Cocoa beverages,13 mg per 180 ml
Chocolate,Milk chocolate,6 mg per 30 ml
Chocolate,Baking chocolate,35 mg per 30 ml
Chocolate,Small candy bar,25 mg per bar
Soft drinks (360 ml can),Leading colas (regular and diet),45 mg
Soft drinks (360 ml can),Dr. Pepper,40 mg
Soft drinks (360 ml can),Mello Yello,53 mg
Soft drinks (360 ml can),Mountain Dew,54 mg
Soft drinks (360 ml can),Mr. Pibb,41 mg
Soft drinks (360 ml can),OK Soda,40 mg
Soft drinks (360 ml can),Jolt Cola,72 mg
Medications (per tablet),Anacin,32 mg
Medications (per tablet),"Dristan (i.e., acetylsalicylic acid+caffeine)",16 mg
Medications (per tablet),"Dexatrim (i.e., phenylpropanolamine+caffeine)",16 mg
Medications (per tablet),"Excedrin (i.e., acetaminophen+acetylsalicylic acid+caffeine)",200 mg
Medications (per tablet),"Midol (i.e., acetaminophen+pyrilamine maleate+caffeine)",32 mg
Medications (per tablet),"Nodoz (i.e., caffeine)",100 mg
Medications (per tablet),"Vivarin (i.e., caffeine)",200 mg
Medications (per tablet),"Vanquish (i.e., acetaminophen+acetylsalicylic acid+caffeine)",33 mg
Energy drinks,28 Energy Drink,80 mg
Energy drinks,6 Hour Power,125 mg
Energy drinks,BANG Energy Drink,357 mg
Energy drinks,Biggby Iced Coffee,192 mg
Energy drinks,Caffeine Energy Drink,140 mg
Energy drinks,Chameleon Cold Brew Coffee,2160 mg
Energy drinks,Cocaine Energy Drink,280 mg
Energy drinks,Diablo Energy Drink,95 mg
Energy drinks,Guayaki Empower Mint,140 mg
Energy drinks,Hardcore Energize Bullet,300 mg
Energy drinks,Java Monster,188 mg
Energy drinks,Liquid Lightning,200 mg
Energy drinks,Monster Energy Drink,160 mg
Energy drinks,Neurofuel Energy Drink,128 mg
Energy drinks,Octane Energy Drink,225 mg
Energy drinks,Potencia Energy Drink,250 mg
Energy drinks,Rage Inferno,375 mg
Energy drinks,Red Bull,80 mg
Energy drinks,Speed Energy Drink,186 mg
Energy drinks,Starbucks Tall Coffee,260 mg
Energy drinks,Ubermonster Energy Brew,160 mg
Energy drinks,Venom Black Mamba,160 mg
Energy drinks,Zun Energy Drink,100 mg
